Id,Name,Link
33,Speech Technology,https://calendar.google.com/calendar/u/0?cid=Y19qZGg3cGcwdXVib250Y3U4czZzZzZrNG43OEBncm91cC5jYWxlbmRhci5nb29nbGUuY29t
34,Algorithmic Thinking in Bioinformatics,https://calendar.google.com/calendar/u/0/r?cid=Y18wNjUwYTAzMjc1YjI3ZDk1NGU0Y2Y4NTM1M2NiMzMxNTZhNmI4MmFmYjc1NzMzMzk1OWM2YjUxZjI0MzNhZWFiQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
35,Data Visualization Design,https://calendar.google.com/calendar/u/0?cid=Y19jYWQyZDdlYzdkMDMzOGZhNTEyNTA2MjRmNTA3OWExY2M0NWY2YjlmMjBjMDU4Y2MyNWU1MjdiMDAzMTczZjk1QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
36,Linear Statistical Models,https://calendar.google.com/calendar/u/0?cid=Y185YzBhOGFlZDQzNGU3NmMyNjc1ZmQ0NTdjNDIyZDVhMmMxOTQyNDRlMWU1M2YwZjI0Mzk2ZGIxZDdmMDM1Yjc2QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
37,Market Research,https://calendar.google.com/calendar/u/0?cid=Y181NWNkOGFhODBiYTViZmJkOWM3YmQzYTRiMmE5ZDNiOThhZjcwMWMyNzNkZDA2MzExNDNjNjI1OWRjOTdjNGE2QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
38,Introduction to Big Data,https://calendar.google.com/calendar/u/0?cid=Y181YmYwYmQ2M2JhODAyNGQ0OGQ0YWM5NWI0ZWY4MDBkYzhkY2MxYzc2N2JmYTI1MTU5Y2QwODczZTIyYTI0YjYzQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
39,Financial Forensics,https://calendar.google.com/calendar/u/0?cid=Y19iZDg0OWIxNGQwYzVmNDdkN2I0ODc4YjQxZmMzNTQ0ZjJhMDcxMmRkMDRjMjY4ZTEyZGZmMTI3NGY0NmQwNjBjQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
40,Privacy and security in online social media,https://calendar.google.com/calendar/u/0?cid=Y185YmZhMzRkM2YyNjM5OTNiYmQ4NjdhZmQ3MGJmODI4NTI3NGJhMTRkNDQ4MDI5M2UzOWU4NzY2ZGY3OWVhODc4QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
41,Big Data and Biological Networks,https://calendar.google.com/calendar/u/0?cid=Y181NDUwMTliYjkyZGE3MzJhZmI5NjA2YjI3MzU2YmU1NjUwYjE5OTkzY2YwNTk0MjE2OGUwMjY5OWYxMDVjMWE5QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
42,Operating Systems,https://calendar.google.com/calendar/u/0?cid=Y180MTA3NTIxNzRkNDBkNzAzY2FhZDE4ODM1ZDU4ZjEzMzFhYmFhMGJmZDQ5NDU3NWY1MTcyMDBmMmIxYWRkMjg0QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
43,Computer Systems Design,https://calendar.google.com/calendar/u/0?cid=Y180N2NjMzRhMjIxNzRhYzhiY2FjYjhiZTkwYjY3NjFmMDBlMzVmOWEwMzljZWZmMDU1NWIwMjM1ODRhM2NlZmJjQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
44,Programming in C,https://calendar.google.com/calendar/u/0?cid=Y18wM2Q5YTM0YWI2ZjY4MGFjZTAxZmM5MDVhOTMxNjNkNDJmYTEyMzM5ODMwZDJmZTcxNDMyZDBlNTI5ODdmMTI4QGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20
